Name,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,ManagerID,TerminationDate
Shawn King,49,No,Travel_Frequently,Research & Development,8,1,Life Sciences,2,3,Male,2,Research Scientist,2,Married,5130,1,No,4,4,1,3,3,10,1,1334,
Johnny Johnston,37,Yes,Travel_Rarely,Research & Development,2,2,Other,4,4,Male,2,Laboratory Technician,3,Single,2090,6,Yes,3,2,0,3,3,0,0,264,2023-08-28
Amber Reyes,33,No,Travel_Frequently,Research & Development,3,4,Life Sciences,5,4,Female,3,Research Scientist,3,Married,2909,1,Yes,3,3,0,3,3,8,3,84,
Christopher Dillon,27,No,Travel_Rarely,Research & Development,2,1,Medical,7,1,Male,3,Laboratory Technician,2,Married,3468,9,No,3,4,1,3,3,2,2,1677,
Shane Hill,32,No,Travel_Frequently,Research & Development,2,2,Life Sciences,8,4,Male,3,Laboratory Technician,4,Single,3068,0,No,3,3,0,2,2,7,3,531,
Carolyn Wilkerson,59,No,Travel_Rarely,Research & Development,3,3,Medical,10,3,Female,4,Laboratory Technician,1,Married,2670,4,Yes,4,1,3,3,2,1,0,444,    
Sergio Smith,30,No,Travel_Rarely,Research & Development,24,1,Life Sciences,11,4,Male,3,Laboratory Technician,3,Divorced,2693,1,No,4,2,1,2,3,1,0,429,
Scott Pena,38,No,Travel_Frequently,Research & Development,23,3,Life Sciences,12,4,Male,2,Manufacturing Director,3,Single,9526,0,No,4,2,0,2,3,9,1,319,
Justin Hill,36,No,Travel_Rarely,Research & Development,27,3,Medical,13,3,Male,3,Healthcare Representative,3,Married,5237,6,No,3,2,2,3,2,7,7,1677,
Travis Campbell,35,No,Travel_Rarely,Research & Development,16,3,Medical,14,1,Male,4,Laboratory Technician,2,Married,2426,0,No,3,3,1,5,3,5,0,259,
Lisa Brown,29,No,Travel_Rarely,Research & Development,15,2,Life Sciences,15,4,Female,2,Laboratory Technician,3,Single,4193,0,Yes,3,4,0,3,3,9,0,1520,
Robert Olson,31,No,Travel_Rarely,Research & Development,26,1,Life Sciences,16,1,Male,3,Research Scientist,3,Divorced,2911,1,No,3,4,1,1,2,5,4,1677,
Julian Hughes,34,No,Travel_Rarely,Research & Development,19,2,Medical,18,2,Male,3,Laboratory Technician,4,Divorced,2661,0,No,3,3,1,2,3,2,1,1215,
Joshua Garcia,28,Yes,Travel_Rarely,Research & Development,24,3,Life Sciences,19,3,Male,2,Laboratory Technician,3,Single,2028,5,Yes,3,2,0,4,3,4,0,253,2021-11-04
Elizabeth Goodwin,29,No,Travel_Rarely,Research & Development,21,4,Life Sciences,20,2,Female,4,Manufacturing Director,1,Divorced,9980,1,No,3,3,1,1,3,10,8,1306,
Jorge Schmidt,32,No,Travel_Rarely,Research & Development,5,2,Life Sciences,21,1,Male,4,Research Scientist,2,Divorced,3298,0,Yes,3,4,2,5,2,6,0,905,
William Flores,22,No,Non-Travel,Research & Development,16,2,Medical,22,4,Male,4,Laboratory Technician,4,Divorced,2935,1,Yes,3,2,2,2,2,1,0,153,
Danielle Watson,53,No,Travel_Rarely,Sales,2,4,Life Sciences,23,1,Female,2,Manager,4,Married,15427,2,No,3,3,0,3,3,25,3,38,
Jason Gutierrez,38,No,Travel_Rarely,Research & Development,2,3,Life Sciences,24,4,Male,3,Research Scientist,4,Single,3944,5,Yes,3,3,0,3,3,3,1,253,
Yolanda Winters,24,No,Non-Travel,Research & Development,11,2,Other,26,1,Female,4,Manufacturing Director,3,Divorced,4011,0,No,3,4,1,5,2,4,1,428,
